Country,2014 Population
Afghanistan,31627506
Albania,2894475
Algeria,38934334
Andorra,72786
Angola,24227524
Antigua and Barbuda,90900
Argentina,42980026
Armenia,3006154
Australia,23490736
Austria,8534492
Azerbaijan,9537823
Bahamas,382600
Bahrain,1361930
Bangladesh,159077513
Barbados,283380
Belarus,9470000
Belgium,11225207
Belize,351706
Benin,10598482
Bhutan,765008
Bolivia (Plurinational State of),10631486
Bosnia and Herzegovina,3817554
Botswana,2219937
Brazil,206077898
Brunei Darussalam,417394
Bulgaria,7226291
Burkina Faso,17589198
Burundi,10816860
Cambodia,15328136
Cameroon,22773014
Canada,35540419
Cape Verde,518000
Central African Republic,4804316
Chad,13587053
Chile,17762647
China,1364270000
Colombia,47791393
Comoros,769991
Congo,4662446
Congo (Democratic Republic of the),69360118
Costa Rica,4757606
Croatia,4236400
Cuba,11379111
Cyprus,1153658
Czech Republic,10510566
Denmark,5639565
Djibouti,876174
Dominica,72341
Dominican Republic,10405943
Ecuador,15902916
Egypt,83386739
El Salvador,6107706
Equatorial Guinea,820885
Eritrea,5110444
Estonia,1313645
Ethiopia,96958732
Fiji,886450
Finland,5463596
France,66206930
Gabon,1687673
Gambia,1925527
Georgia,4504100
Germany,80889505
Ghana,26786598
Greece,10957740
Grenada,106349
Guatemala,16015494
Guinea,12275527
Guinea-Bissau,1800513
Guyana,763893
Haiti,10572029
Honduras,7961680
Hungary,9919128
Iceland,326000
India,1295291543
Indonesia,254454778
Iran (Islamic Republic of),78470222
Iraq,34812326
Ireland,4612719
Israel,8215300
Italy,61336387
Ivory Coast,20804774
Jamaica,2721252
Japan,127131800
Jordan,6607000
Kazakhstan,17289111
Kenya,44863583
Kiribati,110470
Korea (Republic of),50424000
Kuwait,3753121
Kyrgyzstan,5604212
Lao People's Democratic Republic,6803699
Latvia,1990351
Lebanon,4546774
Lesotho,2109197
Liberia,4396554
Libya,6258984
Liechtenstein,37286
Lithuania,2929323
Luxembourg,556074
Madagascar,23571713
Malawi,16695253
Malaysia,29901997
Maldives,357415
Mali,17086022
Malta,427404
Mauritania,3969625
Mauritius,1260934
Mexico,125385833
Micronesia (Federated States of),103903
Moldova (Republic of),3583288
Mongolia,2909871
Montenegro,621800
Morocco,33921203
Mozambique,27216276
Myanmar,53437159
Namibia,2402858
Nepal,28174724
Netherlands,16854183
New Zealand,4509700
Nicaragua,6013913
Niger,19113728
Nigeria,177475986
Norway,5136475
Oman,4236057
Pakistan,185044286
Palau,21097
"Palestine, State of",4550000
Panama,3867535
Papua New Guinea,7463577
Paraguay,6552518
Peru,30973148
Philippines,99138690
Poland,37995529
Portugal,10397393
Qatar,2172065
Romania,19910995
Russian Federation,143819569
Rwanda,11341544
Saint Kitts and Nevis,51538
Saint Lucia,163362
Saint Vincent and the Grenadines,102918
Samoa,191845
Sao Tome and Principe,186342
Saudi Arabia,30886545
Senegal,14672557
Serbia,7129428
Seychelles,91526
Sierra Leone,6315627
Singapore,5469700
Slovakia,5443583
Slovenia,2062218
Solomon Islands,572171
South Africa,54001953
Spain,46404602
Sri Lanka,20639000
Sudan,39350274
Suriname,538248
Swaziland,1269112
Sweden,9689555
Switzerland,8190229
Syrian Arab Republic,22157800
Tajikistan,8295840
Tanzania (United Republic of),50757459
Thailand,67725979
The former Yugoslav Republic of Macedonia,2091719
Timor-Leste,1212107
Togo,7115163
Tonga,105586
Trinidad and Tobago,1354483
Tunisia,10996600
Turkey,75932348
Turkmenistan,5307188
Uganda,37782971
Ukraine,45362900
United Arab Emirates,9086139
United Kingdom,64510376
United States,318857056
Uruguay,3419516
Uzbekistan,30742500
Vanuatu,258883
Venezuela (Bolivarian Republic of),30851343
Viet Nam,92547959
Yemen,24000000
Zambia,15721343
Zimbabwe,15245855
