country_code,name,2014 Infrastructure,2014 Governance,2014 Other,2014 Humanitarian,2014 Economic Growth,2014 Agriculture,2014 Education,2014 Health and Population,2014 Commodity Assistance
AFG,Afghanistan,467746887.9,1266806385,347141521,388536787.6,184975792.6,197694964.9,287132211.6,198696420.4,863830.6376
AGO,Angola,412327.8917,2598076.331,12261354.13,9681238.653,1267784.903,1836.292659,961290.6355,85041445.9,0
ALB,Albania,1034075.001,21830252.19,9384768.416,0,5657505.759,0,1003898.225,1109403.868,0
ARG,Argentina,0,9359.892403,460254.4818,0,624878.2399,338660.6122,0,60822.55134,0
ARM,Armenia,128617.7989,30184005.63,10326734.72,817241.9505,16045550.15,0,2717406.466,6909768.818,147690.2349
AZE,Azerbaijan,583792.2532,15575509.6,7879799.317,391086.276,5561683.308,3694.842158,2807921.02,203128.9268,0
BDI,Burundi,0,6288868.207,3326014.73,24492484.83,337762.161,1117906.809,0,32309319.68,1040612.768
BEN,Benin,3909245.104,5047726.464,16526926.57,8130.298117,1091354.053,1689821.612,4421394.022,39009451.15,0
BFA,Burkina Faso,100576681.9,28472677.81,18245809.39,18147435.72,138883.3742,74095634.15,2809229.129,17760892.41,31378418.19
BGD,Bangladesh,4202.217293,33880313.2,64580015.25,34736040.69,3848349.674,79249562.31,10810099.44,187512374,54885729.52
BGR,Bulgaria,0,49823.61369,1208136.28,49262.5916,0,0,956266.6295,0,0
BHR,Bahrain,0,947647.7253,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,0,45664010.98,14107592.85,5344931.699,24345729.66,1881267.918,0,0,0
BLR,Belarus,0,13889357.51,1723355.577,0,3859201.031,0,1021747.245,246312.958,0
BLZ,Belize,0,92634.52013,332370.7645,0,0,13790.56989,163341.0095,1929162.004,0
BOL,Bolivia,0,296558.8309,3024652.156,0,482725.1203,290710.376,72514.53483,2444699.459,8882.587153
BRA,Brazil,6258904.442,427737.2303,15242265.87,59384.63541,646443.6684,3324251.622,372483.3223,4711947.546,0
BRB,Barbados,0,47693.26277,8779.776125,0,0,0,0,0,0
BRN,Brunei,0,0,0,147787.7748,0,0,0,0,0
BTN,Bhutan,0,0,0,371653.7403,0,0,0,0,0
BWA,Botswana,0,435592.1801,597023.8011,49262.5916,87594.60232,0,6623.375145,101573670.6,0
CAF,Central African Republic,335537.6595,2497770.364,34458.42418,142424880.5,0,0,0,13036.72416,0
CAN,Canada,0,0,474004.6563,0,3944.426152,0,0,0,0
CHE,Switzerland,0,0,394100.7328,0,0,0,0,1416847.604,0
CHL,Chile,2174204.736,0,178724.6823,0,0,0,0,0,0
CHN,China (P.R.C.),9413393.302,12690274.95,8840902.715,2483206.736,2538443.727,314694.5289,6451516.407,10304650.53,0
CIV,Cote d'Ivoire,0,28486929.33,4276514.858,13531725.94,0,0,65485.59062,174295543,0
CMR,Cameroon,0,2027833.931,2586790.301,30139184.09,302964.9383,0,3676691.612,55442171.88,280796.7721
COD,Congo (Kinshasa),3226836.7,57017303.21,50373995.27,290616301.5,2332023.045,7676547.312,22360527.39,239550887.8,51307584.66
COG,Congo (Brazzaville),0,159230.7753,0,2366917.128,0,0,0,4057638.297,161585.4089
COL,Colombia,3986056.046,416938798.5,68244762.42,37748562.37,3594199.54,152163937.9,4397239.479,335681.053,0
COM,Comoros,0,27036.95564,0,163637.6984,204483.6776,0,56497.88695,135358.2712,0
CPV,Cabo Verde,0,106133.6722,7481091.172,0,357492.3343,278590.1036,0,3088049.171,0
CRI,Costa Rica,0,3065112.764,4627969.3,4106817.575,790149.9193,483441.3984,4818519.852,44610.48861,0
CS-KM,Kosovo,2498026.057,63963873.4,9427115.259,539706.7166,21464746.53,0,14393939.49,855198.5901,0
CUB,Cuba,0,7450468.038,1984577.779,3475300.462,0,0,0,0,0
CYP,Cyprus,0,5240390.184,562420.338,0,0,0,0,0,0
CZE,Czech Republic,0,1109393.563,0,0,0,0,217719.9646,0,0
DJI,Djibouti,0,40023.91473,2254225.747,7853442.352,756036.1165,28975.09378,1143317.301,3863185.97,0
DOM,Dominican Republic,788883.447,3995702.273,24131511.6,1849493.428,5014322.131,1812814.029,11847724.19,34034895.48,421845.4244
DZA,Algeria,492625.916,203129.1731,0,13704655.93,0,0,0,0,0
EAO,Eastern Asia Region,0,45502082.68,90504205.99,96499079.69,16992588.5,365196.6264,460009.0851,28966504.69,0
ECU,Ecuador,0,5184660.36,20960539.23,25148933.78,796403.6969,579646.3135,3260140.379,1479717.587,0
EEE,Eastern Europe Region,13566153.23,38775904.38,20182182.14,19174503.95,13022183.92,480606.4052,1310984.433,25263270.47,1192112.676
EGY,Egypt,247683.6305,53223527.18,32583454.05,31204925.08,102262367.4,1352160.324,36929124.79,30235336.43,0
ERI,Eritrea,0,66908.245,36.838566,0,0,0,0,1617.054422,0
EST,Estonia,0,0,0,0,0,0,0,394100.7328,0
ETH,Ethiopia,290823.68,8336146.171,48040357.97,366957732.3,6592722.305,133439667.1,55502681.93,581730012.8,137344093
FJI,Fiji,0,649222.2165,1002019.488,197050.3664,0,0,91420.15784,2595317.025,0
FSM,Micronesia (Federated States),0,11636731.36,80139381.53,681169.1944,6960552.559,0,116334355.3,82328018.63,0
