,HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank,Agriculture,Commodity Assistance,Economic Growth,Education,Governance,Health and Population,Humanitarian,Infrastructure,Other,Region
0,1.0,Norway,0.944,81.5,,12.6,,17.6,,63909.0,,0.943,,0.0,,,,,,,,,,
1,2.0,Australia,0.933,82.5,,12.8,,19.9,,41524.0,,0.931,,0.0,,,,,,,,,,
2,3.0,Switzerland,0.917,82.6,,12.2,,15.7,,53762.0,,0.916,,0.0,,,,,,738199.0,,,197050.0,Europe and Eurasia
3,4.0,Netherlands,0.915,81.0,,11.9,,17.9,,42397.0,,0.915,,0.0,,,,,,,,,,
4,5.0,United States,0.914,78.9,,12.9,,16.5,,52308.0,,0.912,,0.0,,,,,,,,,,
5,6.0,Germany,0.911,80.7,,12.9,,16.3,,43049.0,,0.911,,0.0,,,,,,,,,,
6,7.0,New Zealand,0.91,81.1,,12.5,,19.4,,32569.0,,0.908,,0.0,,,,,,,,,,
7,8.0,Canada,0.902,81.5,,12.3,,15.9,,41887.0,,0.901,,0.0,,,,,,,,,427203.0,Western Hemisphere
8,9.0,Singapore,0.901,82.3,,10.2,b,15.4,c,72371.0,,0.899,,3.0,,,,,,,,,,
9,10.0,Denmark,0.9,79.4,,12.1,,16.9,,42880.0,,0.9,,0.0,,,,,,,,,,
10,11.0,Ireland,0.899,80.7,,11.6,,18.6,,33414.0,,0.901,,-3.0,,,,,2059049.0,,,,,Europe and Eurasia
11,12.0,Sweden,0.898,81.8,,11.7,b,15.8,,43201.0,,0.897,,-1.0,,,,,,,,,,
